,pairs,troubleshoot,troubleshoot_no_handoff,data_gather,handoff,social,none_of_above,auto_esc_balance
AskPlayStation,18675.0,0.24546184738955823,0.15753681392235608,0.018099062918340028,0.26912985274431056,0.09788487282463186,0.50714859437751,0.20590740524015047
AppleSupport,106646.0,0.09599047315417363,0.06615344222943195,0.1562927817264595,0.5568047559214598,0.19278735254955648,0.24616019353749788,0.19192329523516224
XboxSupport,23235.0,0.10867226167419841,0.10342156229825694,0.046309446955024744,0.25590703679793414,0.14125242091672047,0.5103507639337207,0.16268468135863276
SpotifyCares,43092.0,0.047595841455490576,0.0402626937714657,0.3589297317367493,0.31980413997957857,0.15088647544787895,0.40390327671029425,0.1134732398182264
O2,16069.0,0.03889476632024395,0.03223598232621818,0.09272512290746157,0.3186259256954384,0.06969942124587715,0.5585910759848155,0.10134702614972509
MicrosoftHelps,11215.0,0.0905929558626839,0.08372715113687026,0.11752117699509586,0.11823450735621935,0.18716005349977707,0.5629959875167186,0.09949592186118775
hulu_support,21681.0,0.0646187906461879,0.05843826391771597,0.14796365481296989,0.16802730501360638,0.18061897513952307,0.5272358286056916,0.09909199763738588
TMobileHelp,34215.0,0.08554727458716938,0.006254566710507088,0.017916118661405817,0.8245214087388573,0.1812655268157241,0.12681572409761802,0.09080316121913692
comcastcares,32921.0,0.023966465174204914,0.008474833692779685,0.47270739041948906,0.7356398651316789,0.1324990127881899,0.17815376203639013,0.08576945057138229
Uber_Support,56160.0,0.02978988603988604,0.008582621082621082,0.2621794871794872,0.7314992877492877,0.07412749287749287,0.21616809116809116,0.08552773162836062
sprintcare,22209.0,0.017830609212481426,0.011391778107974244,0.07244810662344095,0.49723085235715253,0.12801116664415327,0.3891215273087487,0.07526183321240311
AdobeCare,9858.0,0.05802393994725096,0.05254615540677622,0.1492189085007101,0.1061067153580848,0.08277541083384053,0.6340028403327247,0.07466927048598032
AmericanAir,36531.0,0.0183953354685062,0.014289233801428923,0.022474063124469628,0.23798965262379895,0.2254249815225425,0.5384467986094003,0.05831543353746344
Tesco,38468.0,0.015649370905687843,0.011126130810023916,0.29403660185088903,0.27295414370385773,0.12646875324945409,0.5087345325985234,0.05510828892269463
British_Airways,29290.0,0.020314100375554797,0.01693410720382383,0.16428815295322635,0.15090474564697848,0.1623420962785934,0.6272447934448617,0.05055133173667832
AmazonHelp,168814.0,0.020513701470257207,0.017326761998412453,0.05663037425805917,0.12222327532076724,0.09069153032331442,0.7396069046406104,0.04601883964366521
SouthwestAir,28828.0,0.011620646593589566,0.009053697793811571,0.10680588316914111,0.19838351602608575,0.3484459553212155,0.47190231719161924,0.04454026448350815
Delta,42114.0,0.009616754523436386,0.0076696585458517355,0.11041458897278815,0.192097639739754,0.2897848696395498,0.5032055848411454,0.043828944744284455
GWRHelp,19237.0,0.020741279825336592,0.02063731351042262,0.03243749025315798,0.016322711441492957,0.10989239486406405,0.8347975256017051,0.01835366212389921
VirginTrains,27416.0,0.007951561132185585,0.0077327108257951565,0.017252699153778816,0.02907061569886198,0.07014152319813248,0.8847753136854392,0.017050107242730757
