,brand,score,pairs,unique_customers,days_active,cluster_entropy,embedding_spread,substantive_public_share,reply_uniqueness,top10_template_share,thread_size_mean,first_turn_share,dm_rate,cust_non_english_share,cust_short_share,latency_p50_min
1,Tesco,1.6168888506112604,38468,15593,140,0.9859705843732708,0.9220162630081176,0.7101746906519705,0.9393521888322762,0.0128158469377144,9.43846833731933,0.7295414370385775,0.2687428512009982,0.0001819694291359,0.0277373401268586,96.71666666666668
2,SouthwestAir,1.4884798386874023,28828,19712,95,0.9901218438137508,0.892835259437561,0.7546829471347302,0.9761343138615236,0.0054807825724989,21.084709310392675,0.7773692243652005,0.1701123907312335,3.468849729429721e-05,0.0114818926044123,6.983333333333333
3,hulu_support,1.4310616961021614,21681,13461,124,0.987183220631064,0.8869767189025879,0.9942807066094738,0.9943268299432684,0.002444536691112,7.357225220238919,0.7171255938379226,0.005211936718786,0.0001383700013837,0.0092707900927079,450.6333333333333
4,SpotifyCares,1.412069533980729,43092,27793,147,0.9899860522792002,0.9127216935157776,0.683885640025991,0.8182261208576999,0.0174510349948946,7.731342244500139,0.7229648194560475,0.3085027383272997,0.0007425972338253,0.0270351805439524,43.78333333333333
5,British_Airways,1.366011786864223,29290,14212,141,0.9807898195938268,0.8947747945785522,0.799146466370775,0.989791737794469,0.0032775691362239,5.8490952543530215,0.6952202116763401,0.1402867872994196,0.0,0.0026630249231819,180.50833333333333
6,AmazonHelp,1.350362315772966,168814,71048,198,0.9884111628480564,0.9203569293022156,0.9299465684125724,0.9099186086462024,0.0058703662018552,9.28650467378298,0.5796794104754345,0.0064627341334249,0.057335292096627,0.0282500266565569,11.466666666666669
7,O2,1.2935259226303348,16069,8814,115,0.991650928904348,0.9031084179878236,0.6154707822515403,0.9489078349617276,0.0195407305992905,9.264920032360443,0.6211960918538801,0.2832783620636007,0.0002489265044495,0.0293110958989358,78.93333333333334
8,AmericanAir,1.217107466819631,36531,21686,121,0.9874523851333558,0.8901845812797546,0.7492814322082615,0.9677260408967726,0.0068161287673482,4.67230571295612,0.747912731652569,0.1678300621390052,0.0001094960444553,0.0131395253346472,10.733333333333333
9,GWRHelp,1.1844306386511463,19237,7602,110,0.9868987037475252,0.8814060688018799,0.8951499714092634,0.9796745854343192,0.0071736757290637,9.128294432603836,0.6131933253625825,0.0141914019857566,0.0,0.022456724021417,7.7
10,AskTarget,1.164786957812515,13210,10714,87,0.9777548520155134,0.9136232137680054,0.6573807721423164,0.955109765329296,0.0115821347464042,3.650719152157457,0.8744133232399697,0.3392884178652536,0.0,0.0077214231642694,139.28333333333336
11,sainsburys,1.1578076768407488,19399,10334,109,0.963963564778648,0.9231802821159364,0.6770967575648229,0.931439764936337,0.0180421671220166,7.1175318315377085,0.6290530439713388,0.230527346770452,0.0001546471467601,0.0201041290788184,81.8
12,VirginTrains,1.1196603379594905,27416,12626,108,0.9841694698453584,0.8990926146507263,0.6621680770353079,0.9284359498103296,0.0133498686898161,9.704479136270791,0.5834549168368836,0.0261890866647213,0.0,0.0136781441494018,3.283333333333333
13,ATVIAssist,1.0082062839034895,17514,12422,125,0.9746266061761804,0.8998410105705261,0.7244490122187964,0.7768642229073883,0.0702866278405846,36.24386205321457,0.7350119904076738,0.238095238095238,0.000171291538198,0.027235354573484,363.26666666666665
14,sprintcare,0.869512859965959,22209,12895,112,0.981179247581,0.8949295282363892,0.4589130532666937,0.8619028321851502,0.0143635463100544,13.934576072763294,0.7561349002656581,0.4789049484443243,0.0005853482822279,0.0391733081183304,9.2
15,ArgosHelpers,0.8671902893330008,12030,6795,71,0.9821400229570912,0.9053088426589966,0.5561097256857855,0.9579384871155444,0.0305901911886949,5.799168744804655,0.6781379883624272,0.2847049044056525,0.0,0.028262676641729,9.983333333333333
16,Delta,0.7513408570662947,42114,22329,130,0.9699261790717604,0.9002918004989624,0.6451061404758512,0.922686042646151,0.0162178847889063,5.926081588070476,0.746663817257919,0.1646958256161846,0.0003799211663579,0.0413876620601225,10.166666666666666
17,Safaricom_Care,0.6606731701120703,15441,7046,233,0.9793109061604016,0.892626166343689,0.5182954471860631,0.8589469593938216,0.0194935561168318,7.7726183537335665,0.6692571724629234,0.1945469852988796,0.0001295252898128,0.0293374781426073,15.033333333333331
18,AirAsiaSupport,0.6526386648034976,12694,6355,117,0.9746111901572156,0.8857317566871643,0.769733732472034,0.8926264376870963,0.0296202930518355,32.35126831573972,0.6505435638884512,0.1733102253032929,0.0308019536789034,0.0373404758153458,162.75833333333333
19,VerizonSupport,0.6321636328146537,17805,7778,82,0.9820426168711606,0.909924566745758,0.680033698399326,0.7939904521201909,0.0573996068520078,9.79775344004493,0.5136197697276046,0.1171019376579612,5.616399887672002e-05,0.0501544509969109,3.3
20,TMobileHelp,0.6225454905024226,34215,19942,121,0.9727361926786066,0.9019031524658204,0.1646646207803594,0.9696039748648254,0.0099956159579131,29.39824638316528,0.7997954113692824,0.8189682887622388,0.0002338155779628,0.0294899897705684,2.75
21,XboxSupport,0.47360238119989473,23235,13149,102,0.9670257444312368,0.9058735370635986,0.76001721540779,0.7216268560361524,0.0865935011835592,14.520421777490856,0.6964493221433182,0.2152786744136001,0.0006455777921239,0.0326231977619969,80.85
22,AppleSupport,0.4557908805115794,106646,76365,125,0.9778036659231478,0.8908244371414185,0.461948877595034,0.7740843538435572,0.100828910601429,4.9406916340040885,0.7806950096581212,0.5255893329332558,0.0012658702623633,0.0242390713200682,70.96666666666667
23,SW_Help,0.4226443525062704,11729,4610,85,,,0.861198738170347,0.9820956603290988,0.0063944070253218,8.317503623497315,0.6026089180663313,0.007246994628698,0.0,0.0155170943814476,6.566666666666666
24,AskeBay,0.33914681930611984,9612,4963,98,,,0.6878901373283396,0.9924053266749896,0.0053058676654182,5.872763212650853,0.6570952975447357,0.2838119017894299,0.0009363295880149,0.0311069496462754,399.7000000000001
25,MicrosoftHelps,0.3274524992891036,11215,4105,91,,,0.9045920641997324,0.9005795809184128,0.032456531431119,8.229068212215783,0.5572001783325903,0.0798930004458314,0.0001783325902808,0.0123049487293802,143.55
26,BofA_Help,0.20090206770469554,12634,6238,88,0.9716617625268484,0.8925747871398926,0.8350482824125376,0.7367421244261516,0.056118410637961,10.850166218141522,0.7706981161943961,0.0937945227164793,0.0004749089757796,0.0379135665664081,52.90833333333333
27,AskPlayStation,0.18049418360612746,18675,12214,137,0.97667203176175,0.9015430212020874,0.6553145917001338,0.5434002677376172,0.0806961178045515,5.339437751004016,0.6666131191432396,0.2702543507362784,5.35475234270415e-05,0.0293975903614457,31.383333333333333
28,LondonMidland,0.11495046536763193,6498,3050,63,,,0.7442289935364728,0.9627577716220376,0.0144659895352416,7.635580178516466,0.5795629424438289,0.010464758387196,0.0,0.0112342259156663,4.616666666666666
29,ChipotleTweets,0.10951960996401561,18599,14374,101,0.9509668228968634,0.906629204750061,0.5767514382493683,0.8033227592881338,0.0484434647024033,8.831173719017151,0.7807946663799129,0.0089789773643744,0.0002150653260928,0.0098930050002688,12.15
30,marksandspencer,0.10910774610244961,11425,7599,95,,,0.7445951859956237,0.9519474835886216,0.0294091903719912,5.412603938730854,0.7822319474835886,0.1115098468271334,8.7527352297593e-05,0.0034135667396061,227.45
31,VirginAtlantic,0.0897856199305791,4256,2402,79,,,0.7453007518796992,0.9906015037593984,0.0093984962406015,5.036419172932331,0.6811560150375939,0.0805921052631579,0.0,0.006813909774436,13.45
32,DellCares,0.06091364826393669,5210,1763,82,,,0.5859884836852207,0.9552783109404992,0.0172744721689059,7.744145873320537,0.7562380038387716,0.3842610364683301,0.000767754318618,0.027447216890595,45.9
33,Morrisons,0.04877616444026385,9980,5451,88,,,0.5763527054108216,0.9625250501002004,0.0156312625250501,5.293787575150301,0.7235470941883767,0.2562124248496994,0.0,0.0239478957915831,58.35833333333333
34,DropboxSupport,0.04115827793399761,5938,3173,65,,,0.7482317278544964,0.94004715392388,0.0183563489390367,7.207140451330415,0.7460424385314921,0.1993937352643988,0.003031323678006,0.0092623779050185,1387.5666666666666
35,Uber_Support,0.001424647047111434,56160,38299,143,0.9856571153779928,0.8884939551353455,0.6358796296296296,0.3717592592592592,0.1230947293447293,8.055074786324786,0.7923967236467236,0.3601851851851851,0.0001424501424501,0.0185897435897435,8.85
36,nationalrailenq,-0.028795118026884572,4073,2146,57,,,0.7947458875521728,0.9393567395040512,0.0405106800883869,6.50085931745642,0.5300761109747115,0.0039283083722072,0.0,0.0108028480235698,5.416666666666667
37,IHGService,-0.05375810742305376,2625,1601,75,,,0.5866666666666667,0.969904761904762,0.0278095238095238,3.997333333333333,0.843047619047619,0.4038095238095238,0.0,0.0083809523809523,11.066666666666666
38,Ask_WellsFargo,-0.09854898327532251,7559,5585,93,,,0.5744146051064956,0.9420558274904088,0.0168011641751554,3.7272125942585,0.8477311813731975,0.3825902897208625,0.0006614631565021,0.0464347135864532,68.1
39,AirbnbHelp,-0.1155365872676868,8820,5361,86,,,0.392063492063492,0.9781179138321996,0.0136054421768707,5.0081632653061225,0.745578231292517,0.5896825396825397,0.0023809523809523,0.0226757369614512,8.7
40,Ask_Spectrum,-0.11942079000590608,25617,17213,92,0.9849758204294252,0.886385440826416,0.4697271343248624,0.5507670687434125,0.1349884842097045,9.189834875278136,0.7744466565171566,0.495296092438615,7.807315454580943e-05,0.0177226060818987,18.716666666666665
41,NikeSupport,-0.15237867930823354,3408,1487,86,,,0.8274647887323944,0.8392018779342723,0.0686619718309859,13.542840375586854,0.4844483568075117,0.1097417840375586,0.0002934272300469,0.0334507042253521,33.50833333333333
42,AskCiti,-0.17388011663842645,4036,2197,87,,,0.7277006937561943,0.8939544103072349,0.0369177403369672,4.882309217046581,0.8277998017839445,0.2688305252725471,0.0009910802775024,0.0190782953419226,91.05
43,CoxHelp,-0.21957950403423787,7813,4320,76,,,0.5090234225009599,0.8781517982849097,0.0499168053244592,5.590938179956483,0.6964034301804685,0.4419557148342506,0.0002559836170485,0.0394214770254703,19.633333333333333
44,AlaskaAir,-0.22677474240192913,7412,4736,74,,,0.6079330814894766,0.940636805180788,0.0169994603345925,5.424851592012952,0.7794117647058824,0.1328926065839179,0.0,0.0228008634646519,3.5
45,idea_cares,-0.23770590422780963,15591,6021,137,0.9827916950026367,0.884719729423523,0.7935347315759091,0.6326726957860304,0.1319992303251876,9.604323006862934,0.6583926624334552,0.2017189404143416,0.0262972227567186,0.0296324802770829,29.85
46,comcastcares,-0.2616648288512541,32921,21823,111,0.9622499756523868,0.8896039128303528,0.2561586829075666,0.7257373712827678,0.052489292548829,11.51966829683181,0.8376720026730659,0.7157741259378512,0.0001518787400139,0.0151574982533944,29.23333333333333
