brand,replies,pairs,unique_customers,days_active,span_days,first_turn_share,thread_size_p50,thread_size_mean,dm_rate,reply_url_share,substantive_public_share,reply_uniqueness,top10_template_share,reply_len_p50,cust_len_p50,cust_short_share,cust_non_english_share,latency_p50_min,cluster_entropy,silhouette,embedding_spread
AmazonHelp,169840,168814,71048,198,905,0.5796794104754345,5.0,9.28650467378298,0.006462734133424953,0.4132714111388866,0.9299465684125724,0.9099186086462023,0.0058703662018552965,123.0,118.0,0.02825002665655692,0.05733529209662706,11.466666666666667,0.9884111628480564,0.05224951356649399,0.9203569293022156
AppleSupport,106860,106646,76365,125,640,0.7806950096581212,3.0,4.9406916340040885,0.5255893329332558,0.7537366614781614,0.46194887759503406,0.7740843538435572,0.10082891060142903,129.0,108.0,0.024239071320068264,0.001265870262363333,70.96666666666667,0.9778036659231478,0.029058879241347313,0.8908244371414185
Uber_Support,56270,56160,38299,143,868,0.7923967236467236,3.0,8.055074786324786,0.36018518518518516,0.5131766381766382,0.6358796296296296,0.37175925925925923,0.12309472934472934,104.0,121.0,0.01858974358974359,0.00014245014245014244,8.85,0.9856571153779929,0.03435627743601799,0.8884939551353455
SpotifyCares,43265,43092,27793,147,1538,0.7229648194560475,4.0,7.731342244500139,0.30850273832729974,0.5056390977443609,0.683885640025991,0.8182261208576999,0.017451034994894643,131.0,101.0,0.027035180543952472,0.000742597233825304,43.78333333333333,0.9899860522792002,0.03190325200557709,0.9127216935157776
Delta,42253,42114,22329,130,599,0.746663817257919,4.0,5.926081588070476,0.16469582561618465,0.152395877855345,0.6451061404758512,0.922686042646151,0.016217884788906303,102.0,114.0,0.041387662060122524,0.00037992116635798075,10.166666666666666,0.9699261790717603,0.02137109450995922,0.9002918004989624
Tesco,38573,38468,15593,140,1149,0.7295414370385775,5.0,9.43846833731933,0.2687428512009982,0.08147031298741811,0.7101746906519705,0.9393521888322762,0.012815846937714464,134.0,119.0,0.02773734012685869,0.00018196942913590517,96.71666666666667,0.9859705843732709,0.023539599031209946,0.9220162630081177
AmericanAir,36764,36531,21686,121,2363,0.747912731652569,4.0,4.67230571295612,0.16783006213900523,0.06361720182858394,0.7492814322082615,0.9677260408967726,0.00681612876734828,107.0,125.0,0.013139525334647286,0.00010949604445539405,10.733333333333333,0.9874523851333558,0.019891556352376938,0.8901845812797546
TMobileHelp,34317,34215,19942,121,1671,0.7997954113692824,4.0,29.39824638316528,0.8189682887622388,0.48209849481221684,0.16466462078035948,0.9696039748648254,0.009995615957913196,126.0,110.0,0.029489989770568464,0.00023381557796288177,2.75,0.9727361926786066,0.02893957868218422,0.9019031524658203
comcastcares,33031,32921,21823,111,758,0.8376720026730659,3.0,11.51966829683181,0.7157741259378512,0.03976185413565809,0.2561586829075666,0.7257373712827678,0.05248929254882902,127.0,108.0,0.01515749825339449,0.00015187874001397285,29.233333333333334,0.9622499756523869,0.04095787554979324,0.8896039128303528
British_Airways,29361,29290,14212,141,2044,0.6952202116763401,4.0,5.8490952543530215,0.1402867872994196,0.06684875384090133,0.799146466370775,0.989791737794469,0.003277569136223967,124.0,133.0,0.0026630249231819735,0.0,180.50833333333333,0.9807898195938267,0.022511163726449013,0.8947747945785522
SouthwestAir,28977,28828,19712,95,1081,0.7773692243652005,3.0,21.084709310392675,0.17011239073123352,0.1590467600943527,0.7546829471347302,0.9761343138615235,0.00548078257249896,118.0,116.0,0.011481892604412377,3.468849729429721e-05,6.983333333333333,0.9901218438137508,0.011798604391515255,0.892835259437561
VirginTrains,27817,27416,12626,108,2093,0.5834549168368836,5.0,9.704479136270791,0.02618908666472133,0.1256565509191713,0.6621680770353079,0.9284359498103297,0.013349868689816165,78.0,116.0,0.013678144149401808,0.0,3.283333333333333,0.9841694698453584,0.022086281329393387,0.8990926146507263
Ask_Spectrum,25860,25617,17213,92,952,0.7744466565171566,3.0,9.189834875278136,0.495296092438615,0.3954405277745247,0.4697271343248624,0.5507670687434125,0.1349884842097045,147.0,102.0,0.01772260608189874,7.807315454580943e-05,18.716666666666665,0.9849758204294253,0.025845564901828766,0.886385440826416
XboxSupport,24557,23235,13149,102,1404,0.6964493221433182,4.0,14.520421777490855,0.21527867441360019,0.39074671831289004,0.76001721540779,0.7216268560361524,0.08659350118355928,115.0,107.0,0.032623197761996986,0.0006455777921239509,80.85,0.9670257444312367,0.01919076032936573,0.9058735370635986
sprintcare,22381,22209,12895,112,2198,0.7561349002656581,4.0,13.934576072763294,0.47890494844432435,0.1729479040028817,0.4589130532666937,0.8619028321851502,0.014363546310054482,117.0,99.0,0.039173308118330405,0.0005853482822279256,9.2,0.9811792475810001,0.034913673996925354,0.8949295282363892
hulu_support,21872,21681,13461,124,1175,0.7171255938379226,4.0,7.357225220238919,0.005211936718786034,0.5487754254877543,0.9942807066094738,0.9943268299432683,0.0024445366911120337,132.0,110.0,0.009270790092707901,0.0001383700013837,450.6333333333333,0.9871832206310641,0.029548199847340584,0.8869767189025879
sainsburys,19466,19399,10334,109,1501,0.6290530439713388,4.0,7.1175318315377085,0.23052734677045209,0.3057374091448013,0.6770967575648229,0.931439764936337,0.0180421671220166,120.0,115.0,0.020104129078818495,0.00015464714676014229,81.8,0.9639635647786479,0.02776913158595562,0.9231802821159363
GWRHelp,19364,19237,7602,110,1757,0.6131933253625825,5.0,9.128294432603836,0.014191401985756615,0.06778603732390705,0.8951499714092634,0.9796745854343193,0.007173675729063783,110.0,117.0,0.02245672402141706,0.0,7.7,0.9868987037475252,0.016864532604813576,0.8814060688018799
AskPlayStation,19098,18675,12214,137,1239,0.6666131191432396,4.0,5.339437751004016,0.27025435073627846,0.35892904953145915,0.6553145917001338,0.5434002677376172,0.08069611780455153,102.0,109.0,0.029397590361445784,5.35475234270415e-05,31.383333333333333,0.9766720317617501,0.035605065524578094,0.9015430212020874
ChipotleTweets,18749,18599,14374,101,1900,0.7807946663799129,2.0,8.831173719017151,0.008978977364374429,0.2774880369912361,0.5767514382493683,0.8033227592881338,0.048443464702403356,72.0,90.0,0.009893005000268832,0.0002150653260928007,12.15,0.9509668228968634,0.0560063011944294,0.906629204750061
VerizonSupport,17966,17805,7778,82,208,0.5136197697276046,6.0,9.79775344004493,0.11710193765796124,0.1082841898343162,0.680033698399326,0.7939904521201909,0.057399606852007866,83.0,101.0,0.05015445099691098,5.616399887672002e-05,3.3,0.9820426168711606,0.029884280636906624,0.9099245667457581
UPSHelp,17817,17762,14614,75,1816,0.9107645535412678,2.0,3.5164395901362457,0.6838193897083662,0.8510865893480464,0.2987276207634275,0.7516608490034906,0.09053034568179259,139.0,128.0,0.016326990203805878,0.000844499493300304,13.966666666666667,0.9645120089052444,0.020787209272384644,0.8675394058227539
ATVIAssist,17650,17514,12422,125,1297,0.7350119904076738,4.0,36.24386205321457,0.23809523809523808,0.3210003425830764,0.7244490122187964,0.7768642229073883,0.07028662784058468,111.0,97.0,0.02723535457348407,0.00017129153819801302,363.26666666666665,0.9746266061761804,0.03242633864283562,0.8998410105705261
O2,16212,16069,8814,115,570,0.6211960918538801,4.0,9.264920032360445,0.28327836206360074,0.46717281722571413,0.6154707822515403,0.9489078349617276,0.01954073059929056,116.0,114.0,0.029311095898935838,0.0002489265044495613,78.93333333333334,0.9916509289043481,0.03540269285440445,0.9031084179878235
idea_cares,15724,15591,6021,137,724,0.6583926624334552,5.0,9.604323006862934,0.2017189404143416,0.33063947148996214,0.7935347315759091,0.6326726957860304,0.13199923032518762,129.0,116.0,0.029632480277082932,0.02629722275671862,29.85,0.9827916950026367,0.043598610907793045,0.884719729423523
Safaricom_Care,16077,15441,7046,233,1748,0.6692571724629234,4.0,7.7726183537335665,0.1945469852988796,0.10757075318956026,0.5182954471860631,0.8589469593938216,0.01949355611683181,80.0,88.0,0.029337478142607343,0.00012952528981283597,15.033333333333333,0.9793109061604016,0.04669448733329773,0.892626166343689
AskTarget,13218,13210,10714,87,511,0.8744133232399697,2.0,3.6507191521574565,0.3392884178652536,0.2512490537471612,0.6573807721423164,0.955109765329296,0.01158213474640424,147.0,121.0,0.007721423164269493,0.0,139.28333333333336,0.9777548520155134,0.024436146020889282,0.9136232137680054
AirAsiaSupport,12829,12694,6355,117,1447,0.6505435638884512,4.0,32.351268315739716,0.1733102253032929,0.08374034977154561,0.769733732472034,0.8926264376870963,0.029620293051835514,114.0,108.0,0.03734047581534583,0.03080195367890342,162.75833333333333,0.9746111901572156,0.04656287282705307,0.8857317566871643
