,balanced,escalation-heavy,grounding-heavy,volume-heavy,grounding-absolute,equal,mean_rank
Tesco,1,1,3,2,1,1,1.5
SpotifyCares,3,2,8,3,2,3,3.5
British_Airways,4,4,2,5,4,4,3.8333333333333335
AmazonHelp,5,13,5,1,3,2,4.833333333333333
hulu_support,2,9,1,7,7,6,5.333333333333333
AmericanAir,7,8,6,4,6,5,6.0
O2,6,3,10,11,5,9,7.333333333333333
SouthwestAir,9,11,7,8,10,12,9.5
sainsburys,10,6,11,12,9,10,9.666666666666666
VirginTrains,11,14,12,9,8,7,10.166666666666666
GWRHelp,8,15,4,13,12,11,10.5
AskTarget,12,7,9,14,13,19,12.333333333333334
sprintcare,15,5,18,15,14,15,13.666666666666666
Delta,14,17,14,10,17,13,14.166666666666666
ArgosHelpers,13,10,15,18,16,21,15.5
AppleSupport,21,12,40,6,11,8,16.333333333333332
Safaricom_Care,17,16,19,21,20,14,17.833333333333332
VerizonSupport,16,19,23,19,15,18,18.333333333333332
ATVIAssist,18,18,24,20,19,17,19.333333333333332
MicrosoftHelps,20,27,16,30,25,23,23.5
SW_Help,19,31,13,28,28,25,24.0
XboxSupport,23,24,32,22,22,22,24.166666666666668
AskeBay,22,23,17,31,30,27,25.0
TMobileHelp,24,30,34,17,24,24,25.5
AskPlayStation,26,21,46,23,21,20,26.166666666666668
Uber_Support,36,20,56,16,18,16,27.0
AirAsiaSupport,25,33,26,25,29,33,28.5
BofA_Help,29,37,30,29,26,29,30.0
DellCares,28,22,29,41,33,37,31.666666666666668
Morrisons,31,29,28,34,34,34,31.666666666666668
marksandspencer,32,41,22,33,35,30,32.166666666666664
LondonMidland,27,39,21,36,36,35,32.333333333333336
Ask_Spectrum,43,25,58,24,23,26,33.166666666666664
ChipotleTweets,37,48,42,27,31,31,36.0
DropboxSupport,34,36,25,40,39,42,36.0
VirginAtlantic,30,42,20,46,41,38,36.166666666666664
idea_cares,42,40,53,32,27,32,37.666666666666664
CoxHelp,41,26,45,38,38,39,37.833333333333336
nationalrailenq,33,43,27,48,40,40,38.5
AirbnbHelp,40,32,41,35,43,41,38.666666666666664
comcastcares,50,45,55,26,32,28,39.333333333333336
IHGService,35,28,33,53,47,52,41.333333333333336
Ask_WellsFargo,45,34,38,37,49,51,42.333333333333336
AskCiti,38,38,35,50,45,49,42.5
AdobeCare,48,49,49,43,37,36,43.666666666666664
JetBlue,44,51,39,42,46,45,44.5
AzureSupport,46,44,47,47,42,43,44.833333333333336
ChaseSupport,52,35,48,39,48,48,45.0
NikeSupport,39,46,43,55,44,44,45.166666666666664
AlaskaAir,47,53,37,44,52,50,47.166666666666664
GloCare,53,56,50,52,51,47,51.5
TfL,49,57,31,61,59,59,52.666666666666664
AldiUK,56,50,52,51,54,54,52.833333333333336
VirginAmerica,51,54,44,58,57,57,53.5
airtel_care,58,55,60,54,50,46,53.833333333333336
AskAmex,57,60,54,49,53,53,54.333333333333336
ATT,54,47,51,59,58,58,54.5
UPSHelp,60,58,61,45,56,55,55.833333333333336
Walmart,55,61,36,60,62,63,56.166666666666664
HPSupport,62,52,64,57,55,56,57.666666666666664
GreggsOfficial,59,59,59,63,61,60,60.166666666666664
AskPayPal,63,65,62,56,63,61,61.666666666666664
askpanera,61,62,57,66,65,65,62.666666666666664
AskLyft,66,63,66,62,60,62,63.166666666666664
AskPapaJohns,64,64,65,65,64,64,64.33333333333333
McDonalds,65,68,63,64,67,66,65.5
CenturyLinkHelp,67,67,67,67,68,68,67.33333333333333
TacoBellTeam,69,66,69,68,66,67,67.5
Postmates_Help,68,69,68,69,69,69,68.66666666666667
KFC_UKI_Help,70,70,70,70,70,70,70.0
