customer_tweet_id,customer_message,silver_intent,silver_confidence,silver_band,silver_source,human_intent
324252,since the iOS 11 Update my iPad and iPhone became very slow and crash often. Please fix that!,performance_crash,0.95,HIGH,vote,
2308177,i’m getting real sick of this stupid “i️” autocorrect,keyboard_text_bug,0.95,HIGH,vote,
249174,I noticed mine today is losing battery fast. This needs to be fixed ASAFP,battery_power,0.95,HIGH,vote,
2127263,"Hi there Vince. Sure thing - make sure you have the predictive text feature turned on by going to Settings - Message. You can actually choose the letter “i” as opposed to the glitch. has not gotten back to me unfortunately, eagerly awaiting. As for TO til I die.",performance_crash,0.886,HIGH,vote,
1741587,I already did that! And I️t keeps happening. 😒,keyboard_text_bug,0.95,HIGH,vote,
1386426,Why does idiot looking High Sierra keep freezing all the time?! Keep having to do a hard reboot and losing stuff. Not good,performance_crash,0.95,HIGH,vote,
1774049,when y’all going to fix the problem I️ I️ I️ I️ I️ I️ I️ I️ I️ I️ I️ I️ I️,keyboard_text_bug,0.89,HIGH,vote,
1834694,"Hey , #ios11 has been great so far. My battery dies about 3 times/day, phone freezes half the day, and nothing works!",battery_power,0.95,HIGH,vote,
665831,"It works everywhere else (web client, yahoo mail app) just not in “stock” apple mail app. I’ve seen other users are having the same problems with yahoo mail account since latest update. Can we expect this to be fixed soon?",apps_services,0.95,HIGH,vote,
188149,"my iPad air 2 used to last it's battery for 3 days and now after the ios 11 update,it lasts lesser than a day 🔌🔋😥",battery_power,0.95,HIGH,vote,
1905772,"y’all really not slick, charging me twice a month for Apple Music. I’m really bout to unsubscribe, this some bullshit.",apps_services,0.933,HIGH,vote,
1111390,Es normal que mi #iPhone tenga cada vez más y más errores desde que actualice el #iOS11 #espregunta,non_english,0.95,HIGH,rule:non_english,
2138818,when are you guys going to fix this glitch with the I️ because it’s starting to get really annoying smh,keyboard_text_bug,0.95,HIGH,vote,
2279545,y’all hoes owe me a new phone cus why my shit dying so fast hoe,battery_power,0.95,HIGH,vote,
2017173,My phone now has a very irritating glitch that appears to holds down an app & freezes my phone. I have to restart it at least 5 times a day😤,performance_crash,0.95,HIGH,vote,
1711340,"It’s not working. Paid $1,200 for a broken phone. Get your shit together Apple.",hardware_damage,0.942,HIGH,vote,
2081940,I think my days are over. MacBook bricks 2mths out of warranty... phone is following the same path a week after update #disappointed,account_store_repair,0.95,HIGH,vote,
309280,It works for a while and then freezes again. Restart-freeze-restart-freeze,performance_crash,0.95,HIGH,vote,
2202117,please help. Since the 11.0.3 upgrade I am losing battery life every minute of use. I’ve gone from 100% to 82% in 5 min.,battery_power,0.95,HIGH,vote,
2349379,Now stuck on calculating time remaining in install. Help appreciated 😊,performance_crash,0.95,HIGH,vote,
2684341,I'm having this same issue. It's so annoying.,general_complaint,0.728,MEDIUM,vote,
358945,Battery has improved a bit one more problem continues as wifi is not actually getting switched off when operated from control centre !,connectivity,0.631,MEDIUM,vote,
2179480,"Thanks for the reply, I do appreciate it, but what irks me is the fact that next reboot, it’s back to the same ‘default’ photo. Why cant we just leave things that work fine alone..?",performance_crash,0.61,MEDIUM,vote,
1385522,"I have downloaded new software update. Just opened snapchat and my iPhone jumped from 73% to 20% :( as soon as I plugged it in to charge, it jumped straight up again :/",battery_power,0.747,MEDIUM,vote,
1818495,Dear the process bars on Activity app have been missing / not showing since updated to #ios11 <url>,apps_services,0.642,MEDIUM,vote,
1792888,I got a new battery and that still hasn’t helped. Super slow and battery down by lunch. So frustrating,battery_power,0.666,MEDIUM,vote,
1724817,Me am tired of this. Me love apple products but this is getting annoying,general_complaint,0.682,MEDIUM,vote,
2212793,y r all of my i’s turning into A’s and boxes. pls help,keyboard_text_bug,0.673,MEDIUM,vote,
