gid,customer_author
g000,252884
g001,232092
g002,135583
g003,806472
g004,182011
g005,817243
g006,224797
g007,236213
g008,169257
g009,801395
g010,222714
g011,234446
g012,231607
g013,237877
g014,139288
g015,221785
g016,262666
g017,818716
g018,220974
g019,814266
g020,235366
g021,232091
g022,280005
g023,132201
g024,251807
g025,231609
g026,222379
g027,262985
g028,297650
g029,229529
g030,246310
g031,801937
g032,138163
g033,249142
g034,137166
g035,234823
g036,173018
g037,249886
g038,152678
g039,259791
g040,223018
g041,250458
g042,262107
g043,229924
g044,252890
g045,802230
g046,259386
g047,221225
g048,250655
g049,134126
g050,148983
g051,251091
g052,817572
g053,814280
g054,230280
g055,259775
g056,758993
g057,454719
g058,797366
g059,220748
g060,229205
g061,252376
g062,236696
g063,127669
g064,797745
g065,149304
g066,249521
g067,192784
g068,818976
g069,820668
g070,260551
g071,801398
g072,251456
g073,137188
g074,247563
g075,220979
g076,118356
g077,812647
g078,258640
g079,245896
g080,815209
g081,773588
g082,258999
g083,250899
g084,249146
g085,814289
g086,250315
g087,247987
g088,241089
g089,261484
g090,805726
g091,237057
g092,252072
g093,252888
g094,261179
g095,259363
g096,398842
g097,806041
g098,238224
g099,804528
g100,815839
g101,253367
g102,240070
g103,258314
g104,257164
g105,257977
g106,230313
g107,431131
g108,812649
g109,249495
g110,222370
g111,813958
g112,813967
g113,232674
g114,148954
g115,803146
g116,245242
g117,398527
g118,806475
g119,262404
g120,801654
g121,136600
g122,260177
g123,244620
g124,245915
g125,249526
g126,813955
g127,802211
g128,257386
g129,258992
g130,224491
g131,258964
g132,257995
g133,808571
g134,238536
g135,262993
g136,221217
g137,221228
g138,813658
g139,244909
g140,135593
g141,814883
g142,244611
g143,251815
g144,804907
g145,247100
g146,813972
g147,238861
g148,251469
g149,263303
g150,797139
g151,179332
g152,221513
g153,259398
g154,813389
g155,258618
g156,230642
g157,225740
g158,807877
g159,809040
g160,262397
g161,467228
g162,250648
g163,808847
g164,260162
g165,138165
g166,261513
g167,814276
g168,245878
g169,815542
g170,805192
g171,804532
g172,258995
g173,805722
g174,240082
g175,225298
g176,238209
g177,808180
g178,221514
g179,221521
g180,229223
g181,804194
g182,260151
g183,254075
g184,263562
g185,240044
g186,116325
g187,135044
g188,262104
g189,139257
g190,229936
g191,136584
g192,257421
g193,259764
g194,258021
g195,254352
g196,248674
