gid,stratum,weak
g000,intent:hardware_damage,hardware_damage
g001,intent:performance_crash,performance_crash
g002,edge:pii,general_complaint
g003,multi_turn,hardware_damage
g004,intent:data_loss_sync,data_loss_sync
g005,intent:keyboard_text_bug,keyboard_text_bug
g006,multi_turn,performance_crash
g007,multi_turn,apps_services
g008,edge:pii,account_store_repair
g009,intent:connectivity,connectivity
g010,intent:connectivity,connectivity
g011,edge:abuse_no_symptom,performance_crash
g012,intent:account_store_repair,account_store_repair
g013,multi_turn,non_english
g014,intent:battery_power,battery_power
g015,intent:battery_power,battery_power
g016,intent:hardware_damage,hardware_damage
g017,edge:non_english,non_english
g018,multi_turn,apps_services
g019,intent:non_english,non_english
g020,intent:performance_crash,performance_crash
g021,intent:general_complaint,general_complaint
g022,intent:hardware_damage,hardware_damage
g023,multi_turn,performance_crash
g024,intent:general_complaint,general_complaint
g025,multi_turn,performance_crash
g026,intent:hardware_damage,hardware_damage
g027,intent:connectivity,connectivity
g028,short,apps_services
g029,multi_turn,performance_crash
g030,intent:general_complaint,general_complaint
g031,intent:battery_power,battery_power
g032,intent:keyboard_text_bug,keyboard_text_bug
g033,short,general_complaint
g034,intent:apps_services,apps_services
g035,intent:general_complaint,general_complaint
g036,multi_turn,general_complaint
g037,short,general_complaint
g038,intent:battery_power,battery_power
g039,multi_turn,general_complaint
g040,edge:legal,apps_services
g041,multi_turn,hardware_damage
g042,intent:apps_services,apps_services
g043,intent:general_complaint,general_complaint
g044,intent:account_store_repair,account_store_repair
g045,intent:battery_power,battery_power
g046,intent:account_store_repair,account_store_repair
g047,edge:closure,general_complaint
g048,short,general_complaint
g049,intent:account_store_repair,account_store_repair
g050,multi_turn,general_complaint
g051,multi_turn,general_complaint
g052,intent:data_loss_sync,data_loss_sync
g053,multi_turn,general_complaint
g054,intent:battery_power,battery_power
g055,intent:battery_power,battery_power
g056,short,general_complaint
g057,intent:apps_services,apps_services
g058,intent:account_store_repair,account_store_repair
g059,multi_turn,general_complaint
g060,intent:account_store_repair,account_store_repair
g061,short,general_complaint
g062,short,general_complaint
g063,intent:general_complaint,general_complaint
g064,intent:data_loss_sync,data_loss_sync
g065,multi_turn,connectivity
g066,intent:non_english,non_english
g067,intent:performance_crash,performance_crash
g068,short,battery_power
g069,intent:connectivity,connectivity
g070,intent:non_english,non_english
g071,intent:keyboard_text_bug,keyboard_text_bug
g072,edge:safety,general_complaint
g073,multi_turn,general_complaint
g074,intent:performance_crash,performance_crash
g075,intent:hardware_damage,hardware_damage
g076,intent:hardware_damage,hardware_damage
g077,short,performance_crash
g078,intent:keyboard_text_bug,keyboard_text_bug
g079,short,performance_crash
g080,intent:apps_services,apps_services
g081,intent:general_complaint,general_complaint
g082,short,general_complaint
g083,edge:closure,general_complaint
g084,intent:apps_services,apps_services
g085,intent:data_loss_sync,data_loss_sync
g086,edge:legal,apps_services
g087,short,general_complaint
g088,intent:performance_crash,performance_crash
g089,edge:legal,performance_crash
g090,short,keyboard_text_bug
g091,intent:non_english,non_english
g092,intent:hardware_damage,hardware_damage
g093,intent:general_complaint,general_complaint
g094,intent:hardware_damage,hardware_damage
